sign	tokens	icit	m77_added	initial	medial	final	left	right	as_name_end_740	as_name_end_520	numeral	fish_series	fairservis	anchor	role
912	7	3	4	86%	14%	0%	^:6 1:1	740:6 741:1	6	0					740-name
207	7	1	6	43%	43%	14%	^:3 550:1 32:1	2:1 500:1 740:1	1	0					other
150	7	3	4	14%	86%	0%	741:2 243:1 615:1	1:2 269:2 400:1	0	0					other
264	7	1	6	14%	86%	0%	233:2 231:1 1:1	760:4 861:1 360:1	0	0					other
849	7	1	6	100%	0%	0%	^:7	741:4 742:1 740:1	1	0					other
66	6	6	0	33%	50%	17%	^:2 556:1 942:1	741:2 240:1 455:1	0	0			H-4 arrow		other
287	6	2	4	33%	50%	17%	^:2 34:1 140:1	2:3 365:1 $:1	0	0					other
244	6	4	2	17%	33%	50%	165:2 ^:1 277:1	$:3 861:1 65:1	0	0		yes	C-4a bee (?)		other
824	6	6	0	83%	0%	17%	^:5 892:1	2:4 $:1 368:1	0	0					other
370	6	6	0	100%	0%	0%	^:6	31:2 2:2 455:1	0	0					other
443	6	4	2	0%	100%	0%	388:5 60:1	740:4 61:1 390:1	2	0					other
465	6	6	0	83%	17%	0%	^:5 33:1	806:5 298:1	0	0			I-4 ploughshare		other
7	6	3	3	33%	50%	17%	503:3 ^:2 4:1	740:3 $:3	3	0	7 short		O-10 number 7 (as adjectival form)		numeral
234	6	6	0	50%	17%	33%	^:3 415:1 803:1	400:3 $:2 760:1	0	0		yes			other
710	6	3	3	67%	33%	0%	^:4 2:1 17:1	390:2 455:2 $:1	1	0					other
252	6	6	0	0%	100%	0%	575:1 326:1 692:1	2:3 741:2 268:1	0	0					other
423	6	6	0	0%	17%	83%	3:5 2:1	$:5 1:1	0	0					other
391	6	6	0	50%	17%	33%	^:3 2:2 60:1	595:3 $:2 111:1	0	0					other
502	6	4	2	33%	50%	17%	^:2 31:2 705:1	2:2 295:1 31:1	0	0					other
343	6	1	5	50%	50%	0%	^:3 615:1 632:1	595:2 $:2 590:1	0	0					other
71	6	2	4	17%	67%	17%	32:4 ^:1 740:1	407:2 $:2 405:1	0	0					other
777	6	6	0	100%	0%	0%	^:6	$:6	0	0				goat / archer (copper tablets)	other
531	5	5	0	40%	60%	0%	60:2 ^:2 2:1	740:4 390:1	4	0					other
221	5	5	0	60%	40%	0%	^:3 2:1 31:1	740:2 158:1 400:1	2	0		yes			other
808	5	5	0	80%	0%	20%	^:4 347:1	93:1 817:1 235:1	0	0					other
611	5	4	1	20%	80%	0%	820:1 615:1 840:1	388:1 2:1 550:1	1	0			I-9 winnowing fan		other
869	5	5	0	20%	20%	60%	60:2 ^:1 575:1	$:4 390:1	0	0					other
352	5	5	0	60%	40%	0%	^:3 892:1 125:1	400:2 297:1 615:1	0	0					other
420	5	3	2	0%	100%	0%	705:2 32:1 717:1	595:4 455:1	0	0			G-19 a fence of poles		other
155	5	5	0	0%	40%	60%	806:2 390:1 2:1	$:3 4:1 630:1	0	0					other
637	5	5	0	40%	40%	20%	^:2 240:2 272:1	740:4 $:1	3	0					other
27	5	5	0	100%	0%	0%	^:5	32:5	0	0					other
408	5	5	0	60%	0%	40%	^:3 817:1 4:1	$:2 3:1 5:1	0	0					other
201	5	5	0	100%	0%	0%	^:5	60:5	0	0					other
511	5	5	0	20%	40%	40%	32:2 60:1 ^:1	$:2 269:2 455:1	0	0					other
272	5	4	1	80%	20%	0%	^:4 317:1	33:2 637:1 81:1	0	0					other
159	5	5	0	0%	40%	60%	877:2 57:1 97:1	$:3 400:2	0	0					other
216	5	3	2	100%	0%	0%	^:5	861:3 151:1 $:1	0	0			L-11 beads on string, necklace (drawing from summary chart p. 151: stacked beads)		other
472	5	5	0	40%	60%	0%	1:2 ^:2 240:1	806:5	0	0					other
202	5	4	1	0%	100%	0%	892:4 1:1	400:3 645:1 368:1	0	0					other
263	5	5	0	80%	20%	0%	^:4 104:1	368:2 741:1 365:1	0	0					other
825	5	2	3	20%	80%	0%	2:2 527:1 ^:1	60:1 740:1 111:1	1	0					other
81	5	3	2	20%	80%	0%	518:2 272:1 220:1	892:2 741:2 742:1	0	0					other
