# No. 95 (30 Sept 1812), frames 0228, 0229, 0233, 0234L (codes_ford1812_no95.txt) aligned group by group with the
# Department's decypherment as printed by Ford 4:389-391 (clear copy on frames 0230-0232).
# python align.py codes_ford1812_no95.txt code_table.tsv
# number<TAB>value<TAB>frame+block (Ford page; note)<TAB>grade: C = fixed by Ford between known neighbours; M = split or digit is a judgement
523	eed	0228-0234 No.95 row 193 (Ford 4:389-391; sp-eed-ily)	M
1401	i	0228-0234 No.95 row 194 (Ford 4:389-391)	C
897	ly	0228-0234 No.95 row 195 (Ford 4:389-391)	C
792	by	0228-0234 No.95 row 196 (Ford 4:389-391)	C
1425	in	0228-0234 No.95 row 197 (Ford 4:389-391; in-di-rect (twice more below); table imate)	M
844	di	0228-0234 No.95 row 198 (Ford 4:389-391)	C
518	rect	0228-0234 No.95 row 199 (Ford 4:389-391)	C
1383	than	0228-0234 No.95 row 200 (Ford 4:389-391)	C
792	by	0228-0234 No.95 row 201 (Ford 4:389-391)	C
1501	a	0228-0234 No.95 row 202 (Ford 4:389-391)	C
844	di	0228-0234 No.95 row 203 (Ford 4:389-391)	C
518	rect	0228-0234 No.95 row 204 (Ford 4:389-391)	C
44	negotiation	0228-0234 No.95 row 205 (Ford 4:389-391)	C
1384	that	0228-0234 No.95 row 206 (Ford 4:389-391)	C
184	his	0228-0234 No.95 row 207 (Ford 4:389-391)	C
502	ma	0228-0234 No.95 row 208 (Ford 4:389-391; his ma-jes-ty; probably 602 (ma) misread)	M
1415	jes	0228-0234 No.95 row 209 (Ford 4:389-391; ma-jes-ty; also 0229 602 1415 653)	C
776	ty	0228-0234 No.95 row 210 (Ford 4:389-391)	C
1244	had	0228-0234 No.95 row 211 (Ford 4:389-391)	C
844	di	0228-0234 No.95 row 212 (Ford 4:389-391)	C
518	rect	0228-0234 No.95 row 213 (Ford 4:389-391)	C
520	ed	0228-0234 No.95 row 214 (Ford 4:389-391)	C
182	him	0228-0234 No.95 row 215 (Ford 4:389-391)	C
569	to	0228-0234 No.95 row 216 (Ford 4:389-391)	C
1075	see	0228-0234 No.95 row 217 (Ford 4:389-391)	C
628	me	0228-0234 No.95 row 218 (Ford 4:389-391)	C
668	and	0228-0234 No.95 row 219 (Ford 4:389-391)	C
569	to	0228-0234 No.95 row 220 (Ford 4:389-391)	C
545	en	0228-0234 No.95 row 221 (Ford 4:389-391)	C
63	quir	0228-0234 No.95 row 222 (Ford 4:389-391)	C
1176	if	0228-0234 No.95 row 223 (Ford 4:389-391; enquire if; 1176 = which)	M
1401	i	0228-0234 No.95 row 224 (Ford 4:389-391)	C
500	was	0228-0234 No.95 row 225 (Ford 4:389-391)	C
870	aw	0228-0234 No.95 row 226 (Ford 4:389-391; aw-are (twice))	C
684	are	0228-0234 No.95 row 227 (Ford 4:389-391)	C
1576	of	0228-0234 No.95 row 228 (Ford 4:389-391)	C
674	any	0228-0234 No.95 row 229 (Ford 4:389-391)	C
838	difficul	0228-0234 No.95 row 230 (Ford 4:389-391; difficul-ty (twice))	C
653	ty	0228-0234 No.95 row 231 (Ford 4:389-391)	C
908	or	0228-0234 No.95 row 232 (Ford 4:389-391)	C
1565	obst	0228-0234 No.95 row 233 (Ford 4:389-391; obst-acle)	C
1552	acle	0228-0234 No.95 row 234 (Ford 4:389-391; obst-acle)	M
1385	the	0228-0234 No.95 row 235 (Ford 4:389-391)	C
1110	part	0228-0234 No.95 row 236 (Ford 4:389-391)	C
1576	of	0228-0234 No.95 row 237 (Ford 4:389-391)	C
1385	the	0228-0234 No.95 row 238 (Ford 4:389-391)	C
1229	govern	0228-0234 No.95 row 239 (Ford 4:389-391)	C
637	ment	0228-0234 No.95 row 240 (Ford 4:389-391)	C
1576	of	0228-0234 No.95 row 241 (Ford 4:389-391)	C
1385	the	0228-0234 No.95 row 242 (Ford 4:389-391)	C
49	unitedstates	0228-0234 No.95 row 243 (Ford 4:389-391)	C
1416	if	0228-0234 No.95 row 244 (Ford 4:389-391)	C
169	he	0228-0234 No.95 row 245 (Ford 4:389-391)	C
90	should	0228-0234 No.95 row 246 (Ford 4:389-391)	C
1577	offer	0228-0234 No.95 row 247 (Ford 4:389-391)	C
184	his	0228-0234 No.95 row 248 (Ford 4:389-391)	C
632	medi	0228-0234 No.95 row 249 (Ford 4:389-391)	C
565	tion	0228-0234 No.95 row 250 (Ford 4:389-391)	C
981	for	0228-0234 No.95 row 251 (Ford 4:389-391)	C
1385	the	0228-0234 No.95 row 252 (Ford 4:389-391)	C
229	pu	0228-0234 No.95 row 253 (Ford 4:389-391)	C
1155	pose	0228-0234 No.95 row 255 (Ford 4:389-391; pur-pose)	M
1576	of	0228-0234 No.95 row 256 (Ford 4:389-391)	C
525	ef	0228-0234 No.95 row 257 (Ford 4:389-391)	C
322	fect	0228-0234 No.95 row 258 (Ford 4:389-391)	C
1429	ing	0228-0234 No.95 row 259 (Ford 4:389-391)	C
1501	a	0228-0234 No.95 row 260 (Ford 4:389-391)	C
1102	pa	0228-0234 No.95 row 261 (Ford 4:389-391)	C
1028	ci	0228-0234 No.95 row 262 (Ford 4:389-391)	C
26	fication	0228-0234 No.95 row 263 (Ford 4:389-391; paci-fication)	C
