# JQA St Petersburg code (the = 1385), one value per number, built by consolidate.py
# number	value	grade (H clerk decode, C Ford-aligned, M uncertain, I slot inference)	support
1328	best	H	2x
1331	between	H	13x
1332	bi	M	override: clerk 0190R23 'bi'; sen-si-bi-li-ty in No. 88
1333	bid	C	1x
1334	ak	M	1x
1335	al	C	1x
1338	bl	C	3x
1339	bla	C	1x
1340	ble	H	5x
1342	blow	M	1x
1343	ted	M	1x
1344	bo	M	1x; also th
1346	ban	M	1x
1348	bottom	M	1x
1349	both	H	11x; also ter
1350	bound	H	1x
1352	no (Bassano)	H	1x; also ?
1356	bre	M	2x; also bread
1357	them	H	2x
1359	bring	C	1x
1360	Britain	C	1x; also t
1361	t	M	override: Bal-t-ic (clerk 0206R wrote tic over 1361 1404), at-tem-p-t (0103b1), dou-b-t (0112b1)
1362	ta	H	5x; also tach
1364	tain	H	5x
1365	take	H	override: clerk 0189, take-n (0036, Ford); 'took' 0185L3 = the same group with past-tense sense
1366	take	M	1x; also total
1367	tence	C	1x
1368	tar	H	1x
1369	tation	M	3x; also ation/tations
1370	tend	C	1x
1371	tch	M	1x
1372	te	H	7x; also sa/tergeneralterms/ter
1373	ted	H	10x; also ed/ood
1374	tem	M	2x
1375	ten	C	3x; also se
1376	tend	H	3x; also tention/of
1377	tenth	H	1x
1378	tentions	C	1x
1379	ter	H	11x; also ters/terr
1380	test	C	1x; also st
1381	between	C	1x; also be
1382	th	I	override: de-a-th in No. 88 (1377 tenth < th < 1384 that); an agent read the 0194R3 decode as that
1383	than	H	7x
1384	that	H	90x
1385	the	H	235x; also (the)
1386	their	H	4x; also this/theirs/than
1387	them	H	10x
1388	then	H	6x; also tten
1390	ther	C	2x; also this
1391	there	H	18x
1392	these	H	4x; also ate
1393	they	H	9x; also these
1394	think	H	3x
1395	thing	C	2x; also strong/tion/things
1396	third	C	1x
1397	thirteenth	M	1x
1398	thither	I	1x
1399	this	H	26x
1400	tho'	H	3x
1401	i	H	55x; also flu/kn
1402	pa	H	1x; also ia
1403	ib	I	override: in-fl-ex-ib-ly; slot 1401 I < 1403 < 1404 ic; single Ford alignments disagree (1811 table M, 1812 cal with the 4 blotted) (22 Sept 2026)
1404	ic	M	override: pairs_jqa 0206R 'ic'; a-po-ple-ct-ic in No. 88
1405	ice	H	override: not-ice (0036, Ford 4:18), clerk 0190R15; ad-vice/pr-ice (0190L15, 0184L30)
1407	id	H	8x; also d
1408	t	M	1x
1410	ie	C	1x
1411	ject	H	8x; also nied/jects
1412	nied	M	1x
1414	(fronti)ers?	M	1x; also iers
1415	jes	C	2x
1416	if	H	6x; also tions/ions
1418	ig	C	2x
1419	weight(part)	M	1x; also ight
1420	in	H	4x
1421	ill	H	override: clerk 0189 'ill'; 'still' (0184) is st + ill written as one word
1423	sibility	M	1x; also ility/lity
1424	im	H	15x; also ing/ooth
1425	imate	C	override: ult-imate-ly with 477 (0093b1, Ford 4:91), 0010b2, clerk 0184R10; clerk 0185L1 wrote in over it
1426	in	H	88x
1427	indeed	C	2x
1428	ke	M	1x
1429	ing	H	30x; also ving/in/ring/sing/thing/ting
1430	inter	H	8x
1431	into	H	2x
1432	join	C	1x; also joint
1433	ion	C	override: pro-te-ct-ion (0036, Ford 4:18); the clerk writes it -tion/-sion
1434	journ	I	1x
1435	ir	C	4x
1436	is	H	26x; also ir/sis
1437	ise	C	2x
1438	ish	M	1x; also ng/into/late
1440	it	H	67x; also its/suit/itsc
1442	(oppo)site	M	1x
1443	ju	H	7x
1447	k	C	5x; also ku
1448	ke	M	1x; also ker/ken
1449	kind	M	1x; also k
