sealid	cisi	site	type	complete	direction	signs_visual	signs_reading	motif
5219		SI20	SEAL:S	Y	R/L	292 352 125 741 900 322	322 900 741 125 352 292	Bull1:I
5220		Bhirrana	SEAL:S	Y	R/L	520 460 510	510 460 520	Bull1:II
5227		Karzakan	SEAL:C	Y	R/L	220 455 31 91	91 31 455 220	Gaur
5228		Karzakan	SEAL:C	Y	R/L	33 1 32 91	91 32 1 33	Gaur
5229		Saar	SEAL:C	Y	R/L	31 93 1 91 220 55	55 220 91 1 93 31	
5234		Lakhanjo-daro	SEAL:S	Y	R/L	740 61	61 740	Bull1:S
5235		Lakhanjo-daro	SEAL:S	Y	R/L	740 32 29 2 281	281 2 29 32 740	Bull1:S
5236		Lakhanjo-daro	SEAL:S	Y	R/L	740 405 590 60 146	146 60 590 405 740	Bull1:W
5244		Lakhanjo-daro	TAG	Y	R/L	740 706	706 740	Bull1
5245		Lakhanjo-daro	TAG	Y	R/L	740 706	706 740	Bull1
5252		Nuhato	SEAL:R	Y	R/L	740 900 803	803 900 740	
5271	C-91	Chanhujo-daro	POT:T:p	Y	R/L	740 177	177 740	
5272	C-94	Chanhujo-daro	MISC	Y	R/L	909	909	
5273	K-145	Kalibangan	SEAL:S	Y	R/L	740 585 231 220 32 2 820	820 2 32 220 231 585 740	Bull1:J
5277	K-150	Kalibangan	SEAL:S	Y	R/L	520 220 6	6 220 520	Gaur
5280	K-153	Kalibangan	SEAL:S	Y	R/L	151 61	61 151	
5281	K-156	Kalibangan	TAG	Y	R/L	892 890 417 2 56 91	91 56 2 417 890 892	Bull1
5284	K-158	Kalibangan	TAB:C	Y	R/L	740 798	798 740	
5316	K-392	Kalibangan	POT:T:g	Y	R/L	390 17	17 390	
5341	K-427	Kalibangan	POT:T:g	Y	R/L	31 817	817 31	
5353	Ns-46	Nausharo	SEAL	Y	L/R	390 790	790 390	Bull1
5355	Ns-53	Nausharo	SEAL:S	Y	R/L	861 111 391 60 692	692 60 391 111 861	Bull1:I
5356	Ns-54	Nausharo	SEAL:S	Y	R/L	740 222 2 817	817 2 222 740	Bull1:J
5357	Ns-55	Nausharo	SEAL:S	Y	R/L	526 554 2 880	880 2 554 526	Bull1:J
5358	Ns-57	Nausharo	SEAL:S	Y	R/L	861 111 606 2 820	820 2 606 111 861	Bull1:I
5359	Ns-58	Nausharo	SEAL:S	Y	R/L	740 760 32	32 760 740	Gaur
5360	Ns-59	Nausharo	SEAL:S	Y	R/L	520 220 742 60 920	920 60 742 220 520	Zebu
5361	Ns-60	Nausharo	SEAL:R	Y	R/L	407 63 740 176 236 798 2 297 350 125 413	413 125 350 297 2 798 236 176 740 63 407	
5364	Ns-63	Nausharo	POT:T:g	Y	L/R	795 400 740	740 400 795	
5369	Ns-68	Nausharo	POT:T:g	Y	R/L	740 861	861 740	
5383	Ns-86	Nausharo	POT:T:g	Y	R/L	741 794	794 741	
5384	Ns-87	Nausharo	SEAL:S	Y	R/L	740 384 31 950 1 741 257 840	840 257 741 1 950 31 384 740	Bull1
5388	L-127	Lothal	TAG:L	Y	R/L	90 740 220 55 1 741 500 705	705 500 741 1 55 220 740 90	Bull1
5389	H-2585	Harappa	TAB:I	Y	R/L	400 740 32	32 740 400	
5396		Harappa	TAB:B	Y	R/L	400 137	137 400	Mult
5421		Kanmer	SEAL:S	Y	R/L	520 31	31 520	Ass
5428		Unknown	SEAL:S	Y	R/L	151 400 142	142 400 151	Bull1:J
5442	MQ-11	Miri Qalat	SEAL:S	Y	L/R	740 742	742 740	Bull1:I
5444	MQ-12	Miri Qalat	SEAL:S	Y	L/R	520 13	13 520	Bull3
5451		Shikarpur	SEAL:S	Y	L/R	335 220 98 921 861	861 921 98 220 335	Rhin
5453		Karanpura	SEAL:S	Y	R/L	415 820	820 415	Bull1:W
5455		Khirsara	SEAL:S	Y	R/L	390 16 13 820	820 13 16 390	Bull1:W
5456		Tarkhanewala-dera	TAG	Y	R/L	520 235 220 32	32 220 235 520	Bull1
5462	H-775	Harappa	TAB:B	Y	R/L	400 158 806 472	472 806 158 400	
5465		Unknown	SEAL:S	Y	R/L	390 840 741 31 370	370 31 741 840 390	Gaur
