sealid	cisi	site	type	complete	direction	signs_visual	signs_reading	motif
M77-2179		Mohenjo-daro	M77	Y	M77	861 2 171 35 740 90	861 2 171 35 740 90	
M77-2182		Mohenjo-daro	M77	Y	M77	590 405	590 405	
M77-2188		Mohenjo-daro	M77	Y	M77	60 700 151	60 700 151	
M77-2189		Mohenjo-daro	M77	Y	M77	240 632	240 632	
M77-2190		Mohenjo-daro	M77	Y	M77	250 60 518 81 892 400	250 60 518 81 892 400	
M77-2191		Mohenjo-daro	M77	Y	M77	? 165 1 3 426	? 165 1 3 426	
M77-2192		Mohenjo-daro	M77	Y	M77	140 844 390	140 844 390	
M77-2195		Mohenjo-daro	M77	Y	M77	335 760 740	335 760 740	
M77-2197		Mohenjo-daro	M77	Y	M77	32 168 2 235 233 705 33 ? 388 740	32 168 2 235 233 705 33 ? 388 740	
M77-2200		Mohenjo-daro	M77	Y	M77	? ? 740	? ? 740	
M77-2202		Mohenjo-daro	M77	Y	M77	632 460 2 61 740	632 460 2 61 740	
M77-2204		Mohenjo-daro	M77	Y	M77	840 140 204 590	840 140 204 590	
M77-2206		Mohenjo-daro	M77	Y	M77	287 368	287 368	
M77-2209		Mohenjo-daro	M77	Y	M77	220	220	
M77-2213		Mohenjo-daro	M77	Y	M77	705 33 ? 752 740	705 33 ? 752 740	
M77-2217		Mohenjo-daro	M77	Y	M77	90 90	90 90	
M77-2219		Mohenjo-daro	M77	Y	M77	345 741 832 832 269 740	345 741 832 832 269 740	
M77-2220		Mohenjo-daro	M77	Y	M77	320 690 0 550 60 690 740	320 690 0 550 60 690 740	
M77-2224		Mohenjo-daro	M77	Y	M77	861 2 240 ? ? 760 740	861 2 240 ? ? 760 740	
M77-2226		Mohenjo-daro	M77	Y	M77	?	?	
M77-2228		Mohenjo-daro	M77	Y	M77	632 244 2 240 0 32 632 125 390	632 244 2 240 0 32 632 125 390	
M77-2229		Mohenjo-daro	M77	Y	M77	4 220 520 0 861 2 255 435 690 740	4 220 520 0 861 2 255 435 690 740	
M77-2230		Mohenjo-daro	M77	Y	M77	32 220 70 390	32 220 70 390	
M77-2232		Mohenjo-daro	M77	Y	M77	519 235 220 388 740	519 235 220 388 740	
M77-2234		Mohenjo-daro	M77	Y	M77	705 390 ? 236	705 390 ? 236	
M77-2235		Mohenjo-daro	M77	Y	M77	2 241 0 220 861	2 241 0 220 861	
M77-2236		Mohenjo-daro	M77	Y	M77	590 405 798 740	590 405 798 740	
M77-2241		Mohenjo-daro	M77	Y	M77	176 125 405	176 125 405	
M77-2242		Mohenjo-daro	M77	Y	M77	? ? 156	? ? 156	
M77-2249		Mohenjo-daro	M77	Y	M77	3 142	3 142	
M77-2255		Mohenjo-daro	M77	Y	M77	861 2 832 832 740 90	861 2 832 832 740 90	
M77-2256		Mohenjo-daro	M77	Y	M77	861 2 31 240 632	861 2 31 240 632	
M77-2257		Mohenjo-daro	M77	Y	M77	679 2 156 632 740	679 2 156 632 740	
M77-2261		Mohenjo-daro	M77	Y	M77	?	?	
M77-2262		Mohenjo-daro	M77	Y	M77	861 2 ? 740	861 2 ? 740	
M77-2265		Mohenjo-daro	M77	Y	M77	? 861	? 861	
M77-2266		Mohenjo-daro	M77	Y	M77	? 165 60 137	? 165 60 137	
M77-2278		Mohenjo-daro	M77	Y	M77	803 32 877 904 740	803 32 877 904 740	
M77-2279		Mohenjo-daro	M77	Y	M77	390 90 0 621	390 90 0 621	
M77-2285		Mohenjo-daro	M77	Y	M77	144 ? 32 220 136 740	144 ? 32 220 136 740	
M77-2289		Mohenjo-daro	M77	Y	M77	877 161 400	877 161 400	
M77-2295		Mohenjo-daro	M77	Y	M77	912 741 298 ?	912 741 298 ?	
M77-2296		Mohenjo-daro	M77	Y	M77	320 920 390	320 920 390	
M77-2299		Mohenjo-daro	M77	Y	M77	840	840	
